EVENT,BOUT,OUTCOME,WEIGHTCLASS,METHOD,ROUND,TIME,TIME FORMAT,REFEREE,DETAILS,URL
UFC 331: Van vs. Pantoja 2 ,Joshua Van vs. Alexandre Pantoja,W/L,UFC Flyweight Title Bout,Decision - Unanimous ,5,5:00,5 Rnd (5-5-5-5-5),Herb Dean,Sal D'amato 46 - 49.Derek Cleary 47 - 48.Ron McCarthy 45 - 50.,http://ufcstats.com/fight-details/568ec6af4008355a
UFC 331: Van vs. Pantoja 2 ,Arman Tsarukyan vs. Mauricio Ruffy,W/L,Lightweight Bout,KO/TKO ,1,4:56,5 Rnd (5-5-5-5-5),Jason Herzog,Elbow to Head In Clinch ,http://ufcstats.com/fight-details/fe612d20eec7ef35
UFC 331: Van vs. Pantoja 2 ,Patricio Pitbull vs. Dooho Choi,W/L,Featherweight Bout,KO/TKO ,1,3:28,3 Rnd (5-5-5),Mike Beltran,Punches to Head From Half Guard ,http://ufcstats.com/fight-details/f7810c98786c3dd8
UFC 331: Van vs. Pantoja 2 ,Gable Steveson vs. Sean Sharaf,L/W,Heavyweight Bout,KO/TKO ,1,0:12,3 Rnd (5-5-5),Frank Trigg,Punch to Head At Distance ,http://ufcstats.com/fight-details/023ce4fa7b7b76f9
UFC 331: Van vs. Pantoja 2 ,Alonzo Menifield vs. Iwo Baraniewski,W/L,Light Heavyweight Bout,Decision - Split ,3,5:00,3 Rnd (5-5-5),Jonathan Romero,Ron McCarthy 29 - 28.Chris Leben 28 - 29.Jovany Varela 28 - 29.,http://ufcstats.com/fight-details/196c64693a2ce308
UFC 331: Van vs. Pantoja 2 ,Marlon Vera vs. Charles Jourdain,W/L,Bantamweight Bout,KO/TKO ,3,2:02,3 Rnd (5-5-5),Mike Beltran,Punch to Head At Distance ,http://ufcstats.com/fight-details/d0361fe28d05a0b5
UFC 331: Van vs. Pantoja 2 ,Tai Tuivasa vs. Robelis Despaigne,L/W,Heavyweight Bout,Decision - Split ,3,5:00,3 Rnd (5-5-5),Jason Herzog,Sal D'amato 28 - 29.Jovany Varela 29 - 28.Felicia Oh 28 - 29.,http://ufcstats.com/fight-details/3f2d637ffb324a51
UFC 331: Van vs. Pantoja 2 ,Michael Aswell Jr. vs. JooSang Yoo,W/L,Featherweight Bout,Decision - Split ,3,5:00,3 Rnd (5-5-5),Herb Dean,Daniel Mobley 28 - 29.Ron McCarthy 29 - 28.Derek Cleary 28 - 29.,http://ufcstats.com/fight-details/d89cc2cb92cd8407
UFC 331: Van vs. Pantoja 2 ,Ryan Gandra vs. Ozzy Diaz,W/L,Middleweight Bout,KO/TKO ,1,2:04,3 Rnd (5-5-5),Jonathan Romero,Punch to Head At Distance ,http://ufcstats.com/fight-details/51789f77811b1817
UFC 331: Van vs. Pantoja 2 ,Edmen Shahbazyan vs. Brunno Ferreira,W/L,Middleweight Bout,Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Mike Beltran,Daniel Mobley 28 - 29.Chris Leben 28 - 29.Felicia Oh 27 - 30.,http://ufcstats.com/fight-details/9be47241c960d082
UFC 331: Van vs. Pantoja 2 ,Casey O'Neill vs. Eduarda Moura,W/L,Women's Flyweight Bout,Submission ,1,3:22,3 Rnd (5-5-5),Jason Herzog,Armbar From GuardHelicopter armbar,http://ufcstats.com/fight-details/73304588cef4f88b
UFC 331: Van vs. Pantoja 2 ,Giga Chikadze vs. Joanderson Brito,L/W,Featherweight Bout,KO/TKO ,1,1:57,3 Rnd (5-5-5),Frank Trigg,Punches to Head From Guard ,http://ufcstats.com/fight-details/2e35163040eb3189
