event_date,fight,locked_pick,actual_winner,displayed_method,actual_method,winner_correct,method_correct,joint_correct
2026-08-08,Mateusz Gamrot vs Quillan Salkilld,Quillan Salkilld,Quillan Salkilld,KO,SUB,1,0,0
2026-08-08,Diego Ferreira vs Billy Quarantillo,Billy Quarantillo,Diego Ferreira,KO,DEC,0,0,0
2026-08-08,Darren Elkins vs Yadier del Valle,Yadier del Valle,Yadier del Valle,DEC,KO,1,0,0
2026-08-08,Amanda Lemos vs Alexia Thainara,Alexia Thainara,Alexia Thainara,DEC,DEC,1,1,1
2026-08-08,Ty Miller vs Billy Ray Goff,Ty Miller,Ty Miller,KO,KO,1,1,1
2026-08-08,Steven Asplund vs Guilherme Pat,Steven Asplund,Steven Asplund,KO,DEC,1,0,0
2026-08-08,Diyar Nurgozhay vs Bruno Lopes,Diyar Nurgozhay,Diyar Nurgozhay,KO,KO,1,1,1
2026-08-08,Louie Sutherland vs Jose Montanha,Louie Sutherland,Jose Montanha,KO,SUB,0,0,0
2026-08-08,Manoel Sousa vs Richie Miranda,Manoel Sousa,Manoel Sousa,KO,DEC,1,0,0
2026-08-08,Miles Johns vs Gianni Vazquez,Miles Johns,Miles Johns,DEC,KO,1,0,0
2026-08-08,Juliana Miller vs Ravena Oliveira,Juliana Miller,Juliana Miller,DEC,SUB,1,0,0
2026-08-08,Gigi Canuto vs Carol Foro,Gigi Canuto,Carol Foro,DEC,DEC,0,1,0
2026-08-15,Jeremiah Wells vs Myktybek Orolbai,Myktybek Orolbai,Jeremiah Wells,DEC,SUB,0,0,0
2026-08-15,Neil Magny vs Ramiz Brahimaj,Neil Magny,Neil Magny,DEC,KO,1,0,0
2026-08-15,Rafael Tobias vs Lucas Fernando,Lucas Fernando,Lucas Fernando,DEC,KO,1,0,0
2026-08-15,Vicente Luque vs Tresean Gore,Vicente Luque,Tresean Gore,KO,DEC,0,0,0
2026-08-15,Donte Johnson vs Eric McConico,Donte Johnson,Donte Johnson,DEC,KO,1,0,0
