fight_key,event,event_date,bout,winner,clean_actual_method,base_KO,base_SUB,base_DEC,knockdown_interaction,ground_strike_interaction,submission_attempt_interaction,td_access_interaction,control_interaction,offensive_wrestling_exposure_interaction,winner_round3_retention,opponent_round3_retention,winner_log_ufc_bouts,opponent_log_ufc_bouts
2026-08-08|Amanda Lemos vs. Alexia Thainara,UFC Fight Night: Gamrot vs. Salkilld,2026-08-08T00:00:00+00:00,Amanda Lemos vs. Alexia Thainara,Alexia Thainara,DEC,0.08863924993258952,0.24835711212791065,0.6630036379394999,0.0,121.76882911562578,3.180085178692421,1.9263051871747523,0.939564713937973,8.327104462201955,0.5449999999999999,0.7594183087451426,1.3862943611198906,2.772588722239781
2026-08-08|Billy Ray Goff vs. Ty Miller,UFC Fight Night: Gamrot vs. Salkilld,2026-08-08T00:00:00+00:00,Billy Ray Goff vs. Ty Miller,Ty Miller,KO,0.6422986308139681,0.04353230914531348,0.31416906004071843,3.0100334448160533,3.0100334448160533,0.0,0.0,0.010805830756610084,,,,0.6931471805599453,1.3862943611198906
2026-08-08|Darren Elkins vs. Yadier del Valle,UFC Fight Night: Gamrot vs. Salkilld,2026-08-08T00:00:00+00:00,Darren Elkins vs. Yadier del Valle,Yadier del Valle,KO,0.27740603983035966,0.34273028891622753,0.3798636712534128,0.0,49.818638023497975,5.159427751086888,0.3048160942897785,0.35092080049044244,0.0,,1.3936453655677528,1.3862943611198906,3.4339872044851463
2026-08-08|Diego Ferreira vs. Billy Quarantillo,UFC Fight Night: Gamrot vs. Salkilld,2026-08-08T00:00:00+00:00,Diego Ferreira vs. Billy Quarantillo,Diego Ferreira,DEC,0.41205713213046635,0.1746497268060908,0.41329314106344284,0.3725404621226934,81.53556808956621,0.811751517983789,0.31589234425612744,0.14859835502519175,4.007865703365298,1.4427336669349478,1.2632718075922278,2.8903717578961645,2.4849066497880004
2026-08-08|Diyar Nurgozhay vs. Bruno Lopes,UFC Fight Night: Gamrot vs. Salkilld,2026-08-08T00:00:00+00:00,Diyar Nurgozhay vs. Bruno Lopes,Diyar Nurgozhay,KO,0.5809891918163138,0.0914137950895879,0.3275970130940983,0.0,56.57924728303565,0.0,0.0,0.11593708991044141,0.6194081211286993,,,1.3862943611198906,1.3862943611198906
2026-08-08|Gigi Canuto vs. Carol Foro,UFC Fight Night: Gamrot vs. Salkilld,2026-08-08T00:00:00+00:00,Gigi Canuto vs. Carol Foro,Carol Foro,DEC,0.09755742145222064,0.08423655230899334,0.818206026238786,,,,,,,,,0.0,0.0
2026-08-08|Juliana Miller vs. Ravena Oliveira,UFC Fight Night: Gamrot vs. Salkilld,2026-08-08T00:00:00+00:00,Juliana Miller vs. Ravena Oliveira,Juliana Miller,SUB,0.12988851062115914,0.2791081831021476,0.5910033062766933,0.0,56.38663572101387,1.7239236640387818,1.160600974331682,0.48435007759378923,5.268759978712081,1.1344158040727965,0.6047032474804032,1.791759469228055,1.3862943611198906
2026-08-08|Louie Sutherland vs. Jose Montanha,UFC Fight Night: Gamrot vs. Salkilld,2026-08-08T00:00:00+00:00,Louie Sutherland vs. Jose Montanha,Jose Montanha,SUB,0.44596834138544783,0.2848975952891459,0.26913406332540624,,,,,,,,,0.0,1.3862943611198906
2026-08-08|Manoel Sousa vs. Richie Miranda,UFC Fight Night: Gamrot vs. Salkilld,2026-08-08T00:00:00+00:00,Manoel Sousa vs. Richie Miranda,Manoel Sousa,DEC,0.49851468591789005,0.08913568050681388,0.4123496335752961,,,,,,,,,0.6931471805599453,0.0
2026-08-08|Mateusz Gamrot vs. Quillan Salkilld,UFC Fight Night: Gamrot vs. Salkilld,2026-08-08T00:00:00+00:00,Mateusz Gamrot vs. Quillan Salkilld,Quillan Salkilld,SUB,0.5228166595001273,0.26464428449145,0.2125390560084227,2.743856378631727,44.94911053880101,0.6760744435069554,1.0273972602739723,0.3719256124478921,16.185631678689596,,1.549027895181741,1.791759469228055,2.639057329615259
2026-08-08|Miles Johns vs. Gianni Vazquez,UFC Fight Night: Gamrot vs. Salkilld,2026-08-08T00:00:00+00:00,Miles Johns vs. Gianni Vazquez,Miles Johns,KO,0.16655910867283613,0.025967866483986694,0.8074730248431772,0.4230814431778117,7.9327770595839695,0.0,0.3569749676812786,0.20369021036549537,10.788576801034198,1.4925373134328361,,2.4849066497880004,0.6931471805599453
2026-08-08|Steven Asplund vs. Guilherme Pat,UFC Fight Night: Gamrot vs. Salkilld,2026-08-08T00:00:00+00:00,Steven Asplund vs. Guilherme Pat,Steven Asplund,DEC,0.7283075457433434,0.020501807966978633,0.2511906462896779,0.9447165850244926,10.076976906927921,0.0,0.0,0.016275950548168883,,,0.9062499999999999,1.0986122886681096,1.0986122886681096
2026-08-15|Charles Johnson vs. Eduardo Chapolin,UFC 330: Makhachev vs. Machado Garry,2026-08-15T00:00:00+00:00,Charles Johnson vs. Eduardo Chapolin,Charles Johnson,SUB,0.33190411681349274,0.16290574820379294,0.5051901349827143,,,,,,,1.6353232291988866,,2.772588722239781,0.0
