fight_key,event,event_date,bout,winner,clean_actual_method,base_KO,base_SUB,base_DEC,knockdown_interaction,ground_strike_interaction,submission_attempt_interaction,td_access_interaction,control_interaction,offensive_wrestling_exposure_interaction,winner_round3_retention,opponent_round3_retention,winner_log_ufc_bouts,opponent_log_ufc_bouts
2026-08-08|Amanda Lemos vs. Alexia Thainara,UFC Fight Night: Gamrot vs. Salkilld,2026-08-08T00:00:00+00:00,Amanda Lemos vs. Alexia Thainara,Alexia Thainara,DEC,0.0887527342891076,0.24867511169051362,0.6625721540203788,0.0,121.76882911562578,3.180085178692421,1.9263051871747523,0.939564713937973,8.327104462201955,0.5449999999999999,0.7594183087451426,1.3862943611198906,2.772588722239781
2026-08-08|Billy Ray Goff vs. Ty Miller,UFC Fight Night: Gamrot vs. Salkilld,2026-08-08T00:00:00+00:00,Billy Ray Goff vs. Ty Miller,Ty Miller,KO,0.6422060068676041,0.043526017597288025,0.3142679755351079,3.0100334448160533,3.0100334448160533,0.0,0.0,0.010805830756610084,,,,0.6931471805599453,1.3862943611198906
2026-08-08|Darren Elkins vs. Yadier del Valle,UFC Fight Night: Gamrot vs. Salkilld,2026-08-08T00:00:00+00:00,Darren Elkins vs. Yadier del Valle,Yadier del Valle,KO,0.277212887855142,0.34249148909484284,0.3802956230500152,0.0,49.818638023497975,5.159427751086888,0.3048160942897785,0.35092080049044244,0.0,,1.3936453655677528,1.3862943611198906,3.4339872044851463
2026-08-08|Diego Ferreira vs. Billy Quarantillo,UFC Fight Night: Gamrot vs. Salkilld,2026-08-08T00:00:00+00:00,Diego Ferreira vs. Billy Quarantillo,Diego Ferreira,DEC,0.4116958419614529,0.17449666116766255,0.4138074968708846,0.3725404621226934,81.53556808956621,0.811751517983789,0.31589234425612744,0.14859835502519175,4.007865703365298,1.4427336669349478,1.2632718075922278,2.8903717578961645,2.4849066497880004
2026-08-08|Diyar Nurgozhay vs. Bruno Lopes,UFC Fight Night: Gamrot vs. Salkilld,2026-08-08T00:00:00+00:00,Diyar Nurgozhay vs. Bruno Lopes,Diyar Nurgozhay,KO,0.581598908910965,0.09150965231032107,0.32689143877871396,0.0,56.57924728303565,0.0,0.0,0.11593708991044141,0.6194081211286993,,,1.3862943611198906,1.3862943611198906
2026-08-08|Gigi Canuto vs. Carol Foro,UFC Fight Night: Gamrot vs. Salkilld,2026-08-08T00:00:00+00:00,Gigi Canuto vs. Carol Foro,Carol Foro,DEC,0.09622718125470153,0.08308789816422821,0.8206849205810702,,,,,,,,,0.0,0.0
2026-08-08|Juliana Miller vs. Ravena Oliveira,UFC Fight Night: Gamrot vs. Salkilld,2026-08-08T00:00:00+00:00,Juliana Miller vs. Ravena Oliveira,Juliana Miller,SUB,0.13000634861103624,0.2793615472563686,0.5906321041325953,0.0,56.38663572101387,1.7239236640387818,1.160600974331682,0.48435007759378923,5.268759978712081,1.1344158040727965,0.6047032474804032,1.791759469228055,1.3862943611198906
2026-08-08|Louie Sutherland vs. Jose Montanha,UFC Fight Night: Gamrot vs. Salkilld,2026-08-08T00:00:00+00:00,Louie Sutherland vs. Jose Montanha,Jose Montanha,SUB,0.446076006506543,0.28496666347425187,0.2689573300192052,,,,,,,,,0.0,1.3862943611198906
2026-08-08|Manoel Sousa vs. Richie Miranda,UFC Fight Night: Gamrot vs. Salkilld,2026-08-08T00:00:00+00:00,Manoel Sousa vs. Richie Miranda,Manoel Sousa,DEC,0.4960519390898599,0.0886950995675488,0.41525296134259126,,,,,,,,,0.6931471805599453,0.0
2026-08-08|Mateusz Gamrot vs. Quillan Salkilld,UFC Fight Night: Gamrot vs. Salkilld,2026-08-08T00:00:00+00:00,Mateusz Gamrot vs. Quillan Salkilld,Quillan Salkilld,SUB,0.5234005360446307,0.26493965020913,0.21165981374623946,2.743856378631727,44.94911053880101,0.6760744435069554,1.0273972602739723,0.3719256124478921,16.185631678689596,,1.549027895181741,1.791759469228055,2.639057329615259
