bout,winner,method,round,time,a_kd,a_sig_landed,a_sig_attempted,a_total_landed,a_total_attempted,a_td_landed,a_td_attempted,a_sub_att,a_ctrl_seconds,b_kd,b_sig_landed,b_sig_attempted,b_total_landed,b_total_attempted,b_td_landed,b_td_attempted,b_sub_att,b_ctrl_seconds,diff_a_minus_b_kd,diff_a_minus_b_sig_landed,diff_a_minus_b_sig_attempted,diff_a_minus_b_total_landed,diff_a_minus_b_total_attempted,diff_a_minus_b_td_landed,diff_a_minus_b_td_attempted,diff_a_minus_b_sub_att,diff_a_minus_b_ctrl_seconds
Joshua Van vs. Alexandre Pantoja,Joshua Van,Decision - Unanimous,5,5:00,1.0,181.0,305.0,259.0,392.0,0.0,0.0,1.0,133.0,0.0,147.0,284.0,159.0,300.0,5.0,18.0,0.0,551.0,1.0,34.0,21.0,100.0,92.0,-5.0,-18.0,1.0,-418.0
Arman Tsarukyan vs. Mauricio Ruffy,Arman Tsarukyan,KO/TKO,1,4:56,1.0,8.0,19.0,9.0,20.0,1.0,10.0,0.0,180.0,0.0,4.0,10.0,22.0,28.0,0.0,0.0,0.0,6.0,1.0,4.0,9.0,-13.0,-8.0,1.0,10.0,0.0,174.0
Patricio Pitbull vs. Dooho Choi,Patricio Pitbull,KO/TKO,1,3:28,1.0,38.0,75.0,38.0,75.0,0.0,0.0,0.0,5.0,0.0,20.0,46.0,20.0,46.0,0.0,0.0,0.0,0.0,1.0,18.0,29.0,18.0,29.0,0.0,0.0,0.0,5.0
Gable Steveson vs. Sean Sharaf,Sean Sharaf,KO/TKO,1,0:12,0.0,1.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,3.0,6.0,3.0,6.0,0.0,0.0,0.0,2.0,-1.0,-2.0,-4.0,-2.0,-4.0,0.0,0.0,0.0,-2.0
Alonzo Menifield vs. Iwo Baraniewski,Alonzo Menifield,Decision - Split,3,5:00,0.0,62.0,162.0,140.0,246.0,1.0,5.0,0.0,174.0,0.0,67.0,121.0,89.0,146.0,1.0,3.0,0.0,259.0,0.0,-5.0,41.0,51.0,100.0,0.0,2.0,0.0,-85.0
Marlon Vera vs. Charles Jourdain,Marlon Vera,KO/TKO,3,2:02,3.0,72.0,128.0,80.0,138.0,3.0,3.0,0.0,135.0,0.0,83.0,127.0,108.0,153.0,0.0,1.0,0.0,0.0,3.0,-11.0,1.0,-28.0,-15.0,3.0,2.0,0.0,135.0
Tai Tuivasa vs. Robelis Despaigne,Robelis Despaigne,Decision - Split,3,5:00,0.0,31.0,68.0,54.0,93.0,1.0,6.0,0.0,418.0,0.0,30.0,69.0,83.0,128.0,2.0,2.0,0.0,308.0,0.0,1.0,-1.0,-29.0,-35.0,-1.0,4.0,0.0,110.0
Michael Aswell Jr. vs. JooSang Yoo,Michael Aswell Jr.,Decision - Split,3,5:00,0.0,70.0,145.0,93.0,171.0,0.0,1.0,0.0,71.0,0.0,46.0,129.0,51.0,135.0,1.0,4.0,0.0,138.0,0.0,24.0,16.0,42.0,36.0,-1.0,-3.0,0.0,-67.0
Ryan Gandra vs. Ozzy Diaz,Ryan Gandra,KO/TKO,1,2:04,1.0,16.0,34.0,16.0,34.0,0.0,0.0,0.0,3.0,0.0,3.0,4.0,3.0,4.0,0.0,0.0,0.0,0.0,1.0,13.0,30.0,13.0,30.0,0.0,0.0,0.0,3.0
Edmen Shahbazyan vs. Brunno Ferreira,Edmen Shahbazyan,Decision - Unanimous,3,5:00,1.0,61.0,110.0,63.0,112.0,1.0,3.0,0.0,57.0,0.0,32.0,108.0,33.0,109.0,0.0,0.0,0.0,0.0,1.0,29.0,2.0,30.0,3.0,1.0,3.0,0.0,57.0
Casey O'Neill vs. Eduarda Moura,Casey O'Neill,Submission,1,3:22,0.0,1.0,4.0,1.0,4.0,0.0,0.0,1.0,0.0,0.0,3.0,7.0,13.0,20.0,0.0,0.0,1.0,192.0,0.0,-2.0,-3.0,-12.0,-16.0,0.0,0.0,0.0,-192.0
Giga Chikadze vs. Joanderson Brito,Joanderson Brito,KO/TKO,1,1:57,0.0,7.0,12.0,13.0,18.0,0.0,0.0,0.0,0.0,0.0,20.0,27.0,24.0,31.0,0.0,0.0,0.0,39.0,0.0,-13.0,-15.0,-11.0,-13.0,0.0,0.0,0.0,-39.0
