fighter,pre_prior_bouts,post_prior_bouts,delta_prior_bouts,pre_win_rate,post_win_rate,delta_win_rate,pre_finish_win_rate,post_finish_win_rate,delta_finish_win_rate,pre_ko_win_rate,post_ko_win_rate,delta_ko_win_rate,pre_sub_win_rate,post_sub_win_rate,delta_sub_win_rate,pre_ko_loss_rate,post_ko_loss_rate,delta_ko_loss_rate,pre_sub_loss_rate,post_sub_loss_rate,delta_sub_loss_rate,pre_kd_for_per15,post_kd_for_per15,delta_kd_for_per15,pre_kd_against_per15,post_kd_against_per15,delta_kd_against_per15,pre_sig_landed_per_min,post_sig_landed_per_min,delta_sig_landed_per_min,pre_sig_absorbed_per_min,post_sig_absorbed_per_min,delta_sig_absorbed_per_min,pre_sig_accuracy,post_sig_accuracy,delta_sig_accuracy,pre_sig_defense,post_sig_defense,delta_sig_defense,pre_ground_for_per15,post_ground_for_per15,delta_ground_for_per15,pre_ground_against_per15,post_ground_against_per15,delta_ground_against_per15,pre_td_landed_per15,post_td_landed_per15,delta_td_landed_per15,pre_td_attempts_per15,post_td_attempts_per15,delta_td_attempts_per15,pre_td_accuracy,post_td_accuracy,delta_td_accuracy,pre_td_defense,post_td_defense,delta_td_defense,pre_sub_att_per15,post_sub_att_per15,delta_sub_att_per15,pre_sub_att_against_per15,post_sub_att_against_per15,delta_sub_att_against_per15,pre_ctrl_for_per15,post_ctrl_for_per15,delta_ctrl_for_per15,pre_ctrl_against_per15,post_ctrl_against_per15,delta_ctrl_against_per15,pre_r3_retention,post_r3_retention,delta_r3_retention,pre_recent5_win_rate,post_recent5_win_rate,delta_recent5_win_rate,pre_recent5_finish_rate,post_recent5_finish_rate,delta_recent5_finish_rate,pre_recent5_sig_diff_per_min,post_recent5_sig_diff_per_min,delta_recent5_sig_diff_per_min,pre_recent5_kd_for_per15,post_recent5_kd_for_per15,delta_recent5_kd_for_per15,pre_recent5_td_landed_per15,post_recent5_td_landed_per15,delta_recent5_td_landed_per15,pre_recent5_sub_att_per15,post_recent5_sub_att_per15,delta_recent5_sub_att_per15,pre_days_since_last,post_days_since_last,delta_days_since_last,pre_age_years,post_age_years,delta_age_years,pre_height_inches,post_height_inches,delta_height_inches,pre_reach_inches,post_reach_inches,delta_reach_inches
Giga Chikadze,12.0,13.0,1.0,0.6666666666666666,0.6153846153846154,-0.05128205128205121,0.25,0.23076923076923078,-0.019230769230769218,0.25,0.23076923076923078,-0.019230769230769218,0.0,0.0,0.0,0.08333333333333333,0.15384615384615385,0.07051282051282053,0.0,0.0,0.0,0.5877870904539023,0.5803955288048152,-0.007391561649087164,0.19592903015130075,0.19346517626827173,-0.002463853883029027,3.8467399586372046,3.843508168529665,-0.0032317901075398225,3.467943833678023,3.553310404127257,0.08536657044923412,0.42191977077363896,0.42329545454545453,0.0013756837718155723,0.6107038123167156,0.603882099209202,-0.006821713107513561,4.506367693479917,4.4496990541702495,-0.05666863930966759,2.8409709371938607,4.4496990541702495,1.6087281169763887,0.19592903015130075,0.19346517626827173,-0.002463853883029027,0.4898225753782519,0.4836629406706793,-0.0061596347075726365,0.4,0.4,0.0,0.6875,0.6875,0.0,0.19592903015130075,0.19346517626827173,-0.002463853883029027,0.09796451507565038,0.09673258813413586,-0.0012319269415145134,18.61325786437357,18.379191745485812,-0.23406611888775686,107.95689561336671,110.37188306104902,2.414987447682307,1.256702125760794,1.2523639596001237,-0.004338166160670287,0.2,0.2,0.0,0.0,0.0,0.0,-0.6537371976465461,-0.8796007485963818,-0.22586355094983568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,280.0,1.0,-279.0,38.06785902516821,38.0705969321752,0.0027379070069883937,72.0,72.0,0.0,74.0,74.0,0.0
Joanderson Brito,10.0,11.0,1.0,0.7,0.7272727272727273,0.027272727272727337,0.6,0.6363636363636364,0.036363636363636376,0.3,0.36363636363636365,0.06363636363636366,0.3,0.2727272727272727,-0.027272727272727282,0.0,0.0,0.0,0.0,0.0,0.0,0.17159199237368922,0.1678478179783663,-0.00374417439532293,0.0,0.0,0.0,2.1506196377502382,2.327489742633346,0.17687010488310762,2.3222116301239275,2.349869451697128,0.027657821573200625,0.4895833333333333,0.5060827250608273,0.016499391727493984,0.43137254901960786,0.43089430894308944,-0.0004782400765184214,6.177311725452812,8.895934352853414,2.7186226274006025,6.177311725452812,6.042521447221186,-0.13479027823162593,3.088655862726406,3.021260723610593,-0.06739513911581296,4.6329837940896095,4.531891085415889,-0.10109270867372011,0.6666666666666666,0.6666666666666666,0.0,0.5769230769230769,0.5769230769230769,0.0,1.3727359389895137,1.3427825438269303,-0.02995339516258344,0.6863679694947569,0.6713912719134651,-0.01497669758129172,325.5100095328885,324.95337560611716,-0.5566339267713261,361.20114394661584,353.31965684446106,-7.881487102154779,1.1884920634920635,1.0068108974358974,-0.18168116605616613,0.6,0.6,0.0,0.4,0.4,0.0,-0.32815198618307423,-0.2340702210663199,0.09408176511675434,0.0,0.0,0.0,3.1088082901554404,3.2184655396618984,0.10965724950645805,1.5544041450777202,1.7555266579973992,0.20112251291967898,105.0,1.0,-104.0,31.603660581668343,31.60639848867533,0.0027379070069883937,68.0,68.0,0.0,72.0,72.0,0.0
Casey O'Neill,8.0,9.0,1.0,0.75,0.7777777777777778,0.02777777777777779,0.5,0.5555555555555556,0.05555555555555558,0.375,0.3333333333333333,-0.041666666666666685,0.125,0.2222222222222222,0.09722222222222221,0.0,0.0,0.0,0.125,0.1111111111111111,-0.013888888888888895,0.17472335468841002,0.1681300205492247,-0.006593334139185308,0.0,0.0,0.0,7.885847408270239,7.599476928824958,-0.2863704794452806,5.532906231799651,5.357743321501961,-0.17516291029768993,0.5219737856592136,0.5211375864719446,-0.00083619918726896,0.5758928571428572,0.5758651286601597,-2.7728482697497725e-05,16.77344205008736,16.140481972725574,-0.6329600773617869,5.06697728596389,5.212030637025967,0.14505335106207617,1.3977868375072802,1.3450401643937977,-0.05274667311348247,4.01863715783343,3.8669904726321693,-0.15164668520126057,0.34782608695652173,0.34782608695652173,0.0,0.7,0.7,0.0,0.6988934187536401,0.8406501027461236,0.14175668399248353,0.17472335468841002,0.3362600410984494,0.1615366864100394,225.3931275480489,216.88772650849992,-8.505401039548985,105.35818287711125,133.66336633663366,28.30518345952241,1.3095381894264577,1.4195208422862056,0.10998265285974784,0.6,0.6,0.0,0.2,0.4,0.2,2.3309880697460996,0.3733955659276546,-1.957592503818445,0.27531355154481496,0.3500583430571762,0.07474479151236124,0.0,0.0,0.0,0.27531355154481496,0.7001166861143524,0.42480313456953744,175.0,1.0,-174.0,28.95062869189648,28.953366598903468,0.0027379070069883937,66.0,66.0,0.0,69.0,69.0,0.0
Eduarda Moura,5.0,6.0,1.0,0.6,0.5,-0.09999999999999998,0.2,0.16666666666666666,-0.033333333333333354,0.2,0.16666666666666666,-0.033333333333333354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.16666666666666666,0.0,0.0,0.0,0.22310361923648983,0.21246458923512748,-0.010639030001362348,2.63262270699058,2.54957507082153,-0.08304763616904998,2.647496281606346,2.535410764872521,-0.11208551673382505,0.3773987206823028,0.37815126050420167,0.0007525398218988788,0.5850815850815851,0.5866050808314087,0.001523495749823578,12.716906296479921,12.535410764872521,-0.18149553160739984,3.3465542885473476,3.186968838526912,-0.15958545002043545,3.5696579077838373,3.3994334277620397,-0.17022448002179758,10.708973723351512,10.19830028328612,-0.5106734400653927,0.3333333333333333,0.3333333333333333,0.0,0.8,0.8,0.0,0.22310361923648983,0.42492917847025496,0.20182555923376513,0.8924144769459593,1.0623229461756374,0.16990846922967806,373.475458601884,396.4589235127479,22.983464910863916,88.34903321764997,84.13597733711048,-4.2130558805395,0.8047945205479452,0.8771271929824562,0.07233267243451103,0.6,0.4,-0.19999999999999996,0.2,0.0,-0.2,-0.014873574615765987,-0.8048395581273013,-0.7899659835115354,0.0,0.0,0.0,3.5696579077838373,3.0773277222514466,-0.4923301855323907,0.22310361923648983,0.47343503419253025,0.2503314149560404,224.0,1.0,-223.0,32.55645222010035,32.559190127107335,0.0027379070069883937,66.0,66.0,0.0,67.0,67.0,0.0
Edmen Shahbazyan,15.0,16.0,1.0,0.6,0.625,0.025000000000000022,0.4666666666666667,0.4375,-0.029166666666666674,0.4,0.375,-0.025000000000000022,0.06666666666666667,0.0625,-0.004166666666666666,0.2,0.1875,-0.012500000000000011,0.06666666666666667,0.0625,-0.004166666666666666,0.8360982083609821,0.8535862477771191,0.01748803941613697,0.0,0.0,0.0,3.925680159256802,3.9407231772377003,0.015043017980898465,3.854014598540146,3.670420865441612,-0.183593733098534,0.48619329388560156,0.4928825622775801,0.006689268391978531,0.5025693730729701,0.5226641998149861,0.020094826742016014,9.31652289316523,8.429164196799052,-0.8873586963661779,15.885865958858659,14.190871369294605,-1.694994589564054,1.4333112143331121,1.3870776526378186,-0.04623356169529358,3.941605839416059,3.841138114997036,-0.10046772441902307,0.36363636363636365,0.3611111111111111,-0.0025252525252525415,0.6666666666666667,0.6666666666666667,0.0,0.35832780358327804,0.32009484291641965,-0.038232960666858384,1.0749834107498342,0.960284528749259,-0.11469888200057521,151.4532183145322,141.37522228808535,-10.07799602644684,180.11944260119444,160.90100770598696,-19.21843489520748,0.6211194894468917,0.712120832759549,0.0910013433126573,0.6,0.8,0.20000000000000007,0.4,0.4,0.0,1.3770491803278688,1.2609117361784676,-0.11613744414940119,0.9836065573770492,1.1639185257032008,0.1803119683261516,0.0,0.2909796314258002,0.2909796314258002,0.0,0.0,0.0,105.0,1.0,-104.0,28.830160783588983,28.83289869059597,0.0027379070069883937,74.0,74.0,0.0,75.0,75.0,0.0
Brunno Ferreira,10.0,11.0,1.0,0.6,0.5454545454545454,-0.054545454545454564,0.5,0.45454545454545453,-0.04545454545454547,0.3,0.2727272727272727,-0.027272727272727282,0.2,0.18181818181818182,-0.018181818181818188,0.2,0.18181818181818182,-0.018181818181818188,0.1,0.09090909090909091,-0.009090909090909094,0.6137758581495795,0.5095301000188716,-0.10424575813070791,0.2045919527165265,0.3396867333459143,0.13509478062938782,3.1234371448056377,2.9552745801094544,-0.1681625646961833,3.696294612411912,3.7591998490281187,0.06290523661620684,0.4831223628691983,0.4484536082474227,-0.0346687546217756,0.5195035460992907,0.5074183976261127,-0.012085148473177987,1.8413275744487383,1.5285903000566143,-0.31273727439212395,3.273471243464424,2.8873372334402716,-0.3861340100241524,1.0229597635826324,0.8492168333647858,-0.1737429302178466,4.501022959763583,3.736554066805058,-0.7644688929585253,0.22727272727272727,0.22727272727272727,0.0,0.4782608695652174,0.5,0.021739130434782594,0.6137758581495795,0.5095301000188716,-0.10424575813070791,0.818367810866106,0.6793734666918286,-0.13899434417427736,55.649011138895204,46.197395735044346,-9.451615403850859,189.65674016822007,167.12587280618985,-22.53086736203022,0.7988368044889516,0.9410310786106033,0.14219427412165175,0.6,0.4,-0.19999999999999996,0.4,0.2,-0.2,-1.2272220156191893,-1.2905360688285903,-0.06331405320940098,0.0,0.0,0.0,1.3387876534027519,0.5956320317670417,-0.7431556216357101,0.6693938267013759,0.29781601588352086,-0.37157781081785507,84.0,1.0,-83.0,33.873385490461814,33.8761233974688,0.0027379070069883937,70.0,70.0,0.0,72.0,72.0,0.0
Ryan Gandra,2.0,3.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.517241379310345,11.25,-4.267241379310345,0.0,0.0,0.0,12.413793103448276,10.0,-2.413793103448276,2.586206896551724,2.0,-0.5862068965517242,0.4897959183673469,0.4819277108433735,-0.007868207523973436,0.6153846153846154,0.5294117647058824,-0.08597285067873306,46.55172413793103,45.0,-1.551724137931032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,38.793103448275865,30.0,-8.793103448275865,0.0,0.0,0.0,,,,1.0,1.0,0.0,1.0,1.0,0.0,9.827586206896552,8.0,-1.8275862068965516,15.517241379310345,11.25,-4.267241379310345,0.0,0.0,0.0,0.0,0.0,0.0,70.0,1.0,-69.0,31.36820057906733,31.37093848607432,0.0027379070069883937,73.0,73.0,0.0,74.0,74.0,0.0
Ozzy Diaz,3.0,4.0,1.0,0.3333333333333333,0.25,-0.08333333333333331,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.75,0.08333333333333337,0.0,0.0,0.0,0.0,0.0,0.0,1.2720848056537102,1.7543859649122806,0.4823011592585704,6.360424028268551,5.964912280701754,-0.39551174756679686,7.250883392226148,7.290448343079921,0.039564950853772984,0.5119453924914675,0.5151515151515151,0.0032061226600476056,0.6290672451193058,0.6222222222222222,-0.0068450228970835525,0.0,0.0,0.0,3.1802120141342756,6.432748538011696,3.25253652387742,0.0,0.0,0.0,1.9081272084805652,1.7543859649122806,-0.15374124356828456,0.0,0.0,0.0,0.6666666666666667,0.6666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.07067137809187,36.84210526315789,-3.228566114933983,19.71731448763251,19.883040935672515,0.16572644804000447,,,,0.3333333333333333,0.25,-0.08333333333333331,0.0,0.0,0.0,-0.8904593639575972,-1.3255360623781676,-0.4350766984205704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,133.0,1.0,-132.0,35.825513186444624,35.82825109345161,0.0027379070069883937,76.0,76.0,0.0,79.0,79.0,0.0
Michael Aswell Jr.,4.0,5.0,1.0,0.25,0.4,0.15000000000000002,0.25,0.2,-0.04999999999999999,0.25,0.2,-0.04999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6423982869379015,0.4862236628849271,-0.1561746240529744,0.0,0.0,0.0,6.723768736616702,6.223662884927066,-0.5001058516896357,7.109207708779444,6.126418152350081,-0.9827895564293625,0.3949685534591195,0.4085106382978723,0.0135420848387528,0.521613832853026,0.5407047387606319,0.01909090590760587,3.5331905781584583,2.674230145867099,-0.8589604322913593,0.0,0.0,0.0,0.32119914346895073,0.24311183144246354,-0.0780873120264872,1.284796573875803,1.2155591572123177,-0.06923741666348526,0.25,0.2,-0.04999999999999999,0.5,0.6666666666666667,0.16666666666666674,0.0,0.0,0.0,0.0,0.0,0.0,80.29978586723769,78.03889789303079,-2.260887974206895,7.0663811563169165,38.897893030794165,31.83151187447725,0.8373002754820936,0.8010067114093959,-0.03629356407269768,0.25,0.4,0.15000000000000002,0.25,0.2,-0.04999999999999999,-0.3854389721627409,0.0972447325769854,0.4826837047397263,0.6423982869379015,0.4862236628849271,-0.1561746240529744,0.32119914346895073,0.24311183144246354,-0.0780873120264872,0.0,0.0,0.0,91.0,1.0,-90.0,25.0,25.0,0.0,68.0,68.0,0.0,69.0,69.0,0.0
Joosang Yoo,2.0,3.0,1.0,0.5,0.3333333333333333,-0.16666666666666669,0.5,0.3333333333333333,-0.16666666666666669,0.5,0.3333333333333333,-0.16666666666666669,0.0,0.0,0.0,0.5,0.3333333333333333,-0.16666666666666669,0.0,0.0,0.0,2.5787965616045843,0.7205764611689351,-1.8582201004356491,2.5787965616045843,0.7205764611689351,-1.8582201004356491,6.361031518624642,3.9871897518014414,-2.3738417668232,4.98567335243553,4.755804643714972,-0.22986870872055754,0.5873015873015873,0.4322916666666667,-0.15500992063492064,0.5606060606060606,0.5308056872037914,-0.029800373402269154,2.5787965616045843,0.7205764611689351,-1.8582201004356491,23.20916905444126,6.4851881505204165,-16.723980903920847,0.0,0.7205764611689351,0.7205764611689351,0.0,2.8823058446757406,2.8823058446757406,,0.25,,0.5,0.6666666666666667,0.16666666666666674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.43955164131305,99.43955164131305,214.04011461318052,110.96877502001601,-103.07133959316451,,,,0.5,0.3333333333333333,-0.16666666666666669,0.5,0.3333333333333333,-0.16666666666666669,1.3753581661891117,-0.7686148919135307,-2.1439730581026426,2.5787965616045843,0.7205764611689351,-1.8582201004356491,0.0,0.7205764611689351,0.7205764611689351,0.0,0.0,0.0,350.0,1.0,-349.0,32.660492686365906,32.663230593372894,0.0027379070069883937,67.0,67.0,0.0,71.0,71.0,0.0
