fighter,prior_bouts,win_rate,finish_win_rate,ko_win_rate,sub_win_rate,ko_loss_rate,sub_loss_rate,kd_for_per15,kd_against_per15,sig_landed_per_min,sig_absorbed_per_min,sig_accuracy,sig_defense,ground_for_per15,ground_against_per15,td_landed_per15,td_attempts_per15,td_accuracy,td_defense,sub_att_per15,sub_att_against_per15,ctrl_for_per15,ctrl_against_per15,r3_retention,recent5_win_rate,recent5_finish_rate,recent5_sig_diff_per_min,recent5_kd_for_per15,recent5_td_landed_per15,recent5_sub_att_per15,days_since_last,age_years,height_inches,reach_inches
Giga Chikadze,13.0,0.6153846153846154,0.23076923076923078,0.23076923076923078,0.0,0.15384615384615385,0.0,0.5803955288048152,0.19346517626827173,3.843508168529665,3.553310404127257,0.42329545454545453,0.603882099209202,4.4496990541702495,4.4496990541702495,0.19346517626827173,0.4836629406706793,0.4,0.6875,0.19346517626827173,0.09673258813413586,18.379191745485812,110.37188306104902,1.2523639596001237,0.2,0.0,-0.8796007485963818,0.0,0.0,0.0,1.0,38.0705969321752,72.0,74.0
Joanderson Brito,11.0,0.7272727272727273,0.6363636363636364,0.36363636363636365,0.2727272727272727,0.0,0.0,0.1678478179783663,0.0,2.327489742633346,2.349869451697128,0.5060827250608273,0.43089430894308944,8.895934352853414,6.042521447221186,3.021260723610593,4.531891085415889,0.6666666666666666,0.5769230769230769,1.3427825438269303,0.6713912719134651,324.95337560611716,353.31965684446106,1.0068108974358974,0.6,0.4,-0.2340702210663199,0.0,3.2184655396618984,1.7555266579973992,1.0,31.60639848867533,68.0,72.0
Casey O'Neill,9.0,0.7777777777777778,0.5555555555555556,0.3333333333333333,0.2222222222222222,0.0,0.1111111111111111,0.1681300205492247,0.0,7.599476928824958,5.357743321501961,0.5211375864719446,0.5758651286601597,16.140481972725574,5.212030637025967,1.3450401643937977,3.8669904726321693,0.34782608695652173,0.7,0.8406501027461236,0.3362600410984494,216.88772650849992,133.66336633663366,1.4195208422862056,0.6,0.4,0.3733955659276546,0.3500583430571762,0.0,0.7001166861143524,1.0,28.953366598903468,66.0,69.0
Eduarda Moura,6.0,0.5,0.16666666666666666,0.16666666666666666,0.0,0.0,0.16666666666666666,0.0,0.21246458923512748,2.54957507082153,2.535410764872521,0.37815126050420167,0.5866050808314087,12.535410764872521,3.186968838526912,3.3994334277620397,10.19830028328612,0.3333333333333333,0.8,0.42492917847025496,1.0623229461756374,396.4589235127479,84.13597733711048,0.8771271929824562,0.4,0.0,-0.8048395581273013,0.0,3.0773277222514466,0.47343503419253025,1.0,32.559190127107335,66.0,67.0
Edmen Shahbazyan,16.0,0.625,0.4375,0.375,0.0625,0.1875,0.0625,0.8535862477771191,0.0,3.9407231772377003,3.670420865441612,0.4928825622775801,0.5226641998149861,8.429164196799052,14.190871369294605,1.3870776526378186,3.841138114997036,0.3611111111111111,0.6666666666666667,0.32009484291641965,0.960284528749259,141.37522228808535,160.90100770598696,0.712120832759549,0.8,0.4,1.2609117361784676,1.1639185257032008,0.2909796314258002,0.0,1.0,28.83289869059597,74.0,75.0
Brunno Ferreira,11.0,0.5454545454545454,0.45454545454545453,0.2727272727272727,0.18181818181818182,0.18181818181818182,0.09090909090909091,0.5095301000188716,0.3396867333459143,2.9552745801094544,3.7591998490281187,0.4484536082474227,0.5074183976261127,1.5285903000566143,2.8873372334402716,0.8492168333647858,3.736554066805058,0.22727272727272727,0.5,0.5095301000188716,0.6793734666918286,46.197395735044346,167.12587280618985,0.9410310786106033,0.4,0.2,-1.2905360688285903,0.0,0.5956320317670417,0.29781601588352086,1.0,33.8761233974688,70.0,72.0
Ryan Gandra,3.0,1.0,1.0,1.0,0.0,0.0,0.0,11.25,0.0,10.0,2.0,0.4819277108433735,0.5294117647058824,45.0,0.0,0.0,0.0,,,0.0,0.0,30.0,0.0,,1.0,1.0,8.0,11.25,0.0,0.0,1.0,31.37093848607432,73.0,74.0
Ozzy Diaz,4.0,0.25,0.0,0.0,0.0,0.75,0.0,0.0,1.7543859649122806,5.964912280701754,7.290448343079921,0.5151515151515151,0.6222222222222222,0.0,6.432748538011696,0.0,1.7543859649122806,0.0,0.6666666666666667,0.0,0.0,36.84210526315789,19.883040935672515,,0.25,0.0,-1.3255360623781676,0.0,0.0,0.0,1.0,35.82825109345161,76.0,79.0
Michael Aswell Jr.,5.0,0.4,0.2,0.2,0.0,0.0,0.0,0.4862236628849271,0.0,6.223662884927066,6.126418152350081,0.4085106382978723,0.5407047387606319,2.674230145867099,0.0,0.24311183144246354,1.2155591572123177,0.2,0.6666666666666667,0.0,0.0,78.03889789303079,38.897893030794165,0.8010067114093959,0.4,0.2,0.0972447325769854,0.4862236628849271,0.24311183144246354,0.0,1.0,25.0,68.0,69.0
Joosang Yoo,3.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.0,0.7205764611689351,0.7205764611689351,3.9871897518014414,4.755804643714972,0.4322916666666667,0.5308056872037914,0.7205764611689351,6.4851881505204165,0.7205764611689351,2.8823058446757406,0.25,0.6666666666666667,0.0,0.0,99.43955164131305,110.96877502001601,,0.3333333333333333,0.3333333333333333,-0.7686148919135307,0.7205764611689351,0.7205764611689351,0.0,1.0,32.663230593372894,67.0,71.0
Tai Tuivasa,19.0,0.42105263157894735,0.3684210526315789,0.3684210526315789,0.0,0.15789473684210525,0.15789473684210525,0.7468879668049793,0.5601659751037344,3.2489626556016598,4.363070539419088,0.4842300556586271,0.43694779116465865,3.1742738589211617,11.296680497925312,0.09336099585062241,0.8402489626556017,0.1111111111111111,0.5625,0.0,0.2800829875518672,140.50829875518673,228.8278008298755,0.8971738076671796,0.0,0.0,-1.2785862785862787,0.0,0.2338877338877339,0.0,1.0,33.51471967254632,74.0,75.0
