fighter,prior_bouts,win_rate,finish_win_rate,ko_win_rate,sub_win_rate,ko_loss_rate,sub_loss_rate,kd_for_per15,kd_against_per15,sig_landed_per_min,sig_absorbed_per_min,sig_accuracy,sig_defense,ground_for_per15,ground_against_per15,td_landed_per15,td_attempts_per15,td_accuracy,td_defense,sub_att_per15,sub_att_against_per15,ctrl_for_per15,ctrl_against_per15,r3_retention,recent5_win_rate,recent5_finish_rate,recent5_sig_diff_per_min,recent5_kd_for_per15,recent5_td_landed_per15,recent5_sub_att_per15,days_since_last,age_years,height_inches,reach_inches
Giga Chikadze,12.0,0.6666666666666666,0.25,0.25,0.0,0.08333333333333333,0.0,0.5877870904539023,0.19592903015130075,3.8467399586372046,3.467943833678023,0.42191977077363896,0.6107038123167156,4.506367693479917,2.8409709371938607,0.19592903015130075,0.4898225753782519,0.4,0.6875,0.19592903015130075,0.09796451507565038,18.61325786437357,107.95689561336671,1.256702125760794,0.2,0.0,-0.6537371976465461,0.0,0.0,0.0,280.0,38.06785902516821,72.0,74.0
Joanderson Brito,10.0,0.7,0.6,0.3,0.3,0.0,0.0,0.17159199237368922,0.0,2.1506196377502382,2.3222116301239275,0.4895833333333333,0.43137254901960786,6.177311725452812,6.177311725452812,3.088655862726406,4.6329837940896095,0.6666666666666666,0.5769230769230769,1.3727359389895137,0.6863679694947569,325.5100095328885,361.20114394661584,1.1884920634920635,0.6,0.4,-0.32815198618307423,0.0,3.1088082901554404,1.5544041450777202,105.0,31.603660581668343,68.0,72.0
Casey O'Neill,8.0,0.75,0.5,0.375,0.125,0.0,0.125,0.17472335468841002,0.0,7.885847408270239,5.532906231799651,0.5219737856592136,0.5758928571428572,16.77344205008736,5.06697728596389,1.3977868375072802,4.01863715783343,0.34782608695652173,0.7,0.6988934187536401,0.17472335468841002,225.3931275480489,105.35818287711125,1.3095381894264577,0.6,0.2,2.3309880697460996,0.27531355154481496,0.0,0.27531355154481496,175.0,28.95062869189648,66.0,69.0
Eduarda Moura,5.0,0.6,0.2,0.2,0.0,0.0,0.0,0.0,0.22310361923648983,2.63262270699058,2.647496281606346,0.3773987206823028,0.5850815850815851,12.716906296479921,3.3465542885473476,3.5696579077838373,10.708973723351512,0.3333333333333333,0.8,0.22310361923648983,0.8924144769459593,373.475458601884,88.34903321764997,0.8047945205479452,0.6,0.2,-0.014873574615765987,0.0,3.5696579077838373,0.22310361923648983,224.0,32.55645222010035,66.0,67.0
Edmen Shahbazyan,15.0,0.6,0.4666666666666667,0.4,0.06666666666666667,0.2,0.06666666666666667,0.8360982083609821,0.0,3.925680159256802,3.854014598540146,0.48619329388560156,0.5025693730729701,9.31652289316523,15.885865958858659,1.4333112143331121,3.941605839416059,0.36363636363636365,0.6666666666666667,0.35832780358327804,1.0749834107498342,151.4532183145322,180.11944260119444,0.6211194894468917,0.6,0.4,1.3770491803278688,0.9836065573770492,0.0,0.0,105.0,28.830160783588983,74.0,75.0
Brunno Ferreira,10.0,0.6,0.5,0.3,0.2,0.2,0.1,0.6137758581495795,0.2045919527165265,3.1234371448056377,3.696294612411912,0.4831223628691983,0.5195035460992907,1.8413275744487383,3.273471243464424,1.0229597635826324,4.501022959763583,0.22727272727272727,0.4782608695652174,0.6137758581495795,0.818367810866106,55.649011138895204,189.65674016822007,0.7988368044889516,0.6,0.4,-1.2272220156191893,0.0,1.3387876534027519,0.6693938267013759,84.0,33.873385490461814,70.0,72.0
Ryan Gandra,2.0,1.0,1.0,1.0,0.0,0.0,0.0,15.517241379310345,0.0,12.413793103448276,2.586206896551724,0.4897959183673469,0.6153846153846154,46.55172413793103,0.0,0.0,0.0,,,0.0,0.0,38.793103448275865,0.0,,1.0,1.0,9.827586206896552,15.517241379310345,0.0,0.0,70.0,31.36820057906733,73.0,74.0
Ozzy Diaz,3.0,0.3333333333333333,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,1.2720848056537102,6.360424028268551,7.250883392226148,0.5119453924914675,0.6290672451193058,0.0,3.1802120141342756,0.0,1.9081272084805652,0.0,0.6666666666666667,0.0,0.0,40.07067137809187,19.71731448763251,,0.3333333333333333,0.0,-0.8904593639575972,0.0,0.0,0.0,133.0,35.825513186444624,76.0,79.0
Michael Aswell Jr.,4.0,0.25,0.25,0.25,0.0,0.0,0.0,0.6423982869379015,0.0,6.723768736616702,7.109207708779444,0.3949685534591195,0.521613832853026,3.5331905781584583,0.0,0.32119914346895073,1.284796573875803,0.25,0.5,0.0,0.0,80.29978586723769,7.0663811563169165,0.8373002754820936,0.25,0.25,-0.3854389721627409,0.6423982869379015,0.32119914346895073,0.0,91.0,25.0,68.0,69.0
Joosang Yoo,2.0,0.5,0.5,0.5,0.0,0.5,0.0,2.5787965616045843,2.5787965616045843,6.361031518624642,4.98567335243553,0.5873015873015873,0.5606060606060606,2.5787965616045843,23.20916905444126,0.0,0.0,,0.5,0.0,0.0,0.0,214.04011461318052,,0.5,0.5,1.3753581661891117,2.5787965616045843,0.0,0.0,350.0,32.660492686365906,67.0,71.0
Tai Tuivasa,18.0,0.4444444444444444,0.3888888888888889,0.3888888888888889,0.0,0.16666666666666666,0.16666666666666666,0.8237986270022883,0.6178489702517163,3.3707093821510297,4.606407322654462,0.4861386138613861,0.42942176870748294,2.471395881006865,11.842105263157894,0.0,0.30892448512585813,0.0,0.5869565217391304,0.0,0.30892448512585813,111.93363844393592,220.675057208238,0.9531167484890566,0.0,0.0,-2.519148936170213,0.0,0.0,0.0,140.0,33.51198176553933,74.0,75.0
Robelis Despaigne,3.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.49504950495049505,0.0,2.112211221122112,2.541254125412541,0.5981308411214953,0.4652777777777778,0.9900990099009901,21.287128712871286,0.0,0.0,,0.5,0.0,0.49504950495049505,10.396039603960395,557.9207920792079,1.7430769230769234,0.3333333333333333,0.3333333333333333,-0.4290429042904291,0.49504950495049505,0.0,0.0,700.0,38.026790420063385,79.0,84.0
Marlon Vera,26.0,0.5769230769230769,0.4230769230769231,0.2692307692307692,0.15384615384615385,0.0,0.0,0.5513406531266198,0.04241081947127845,4.184534187832806,5.343763253381084,0.4758842443729904,0.5010559662090813,6.4040337401630465,7.167428490646058,0.466519014184063,1.1875029451957966,0.39285714285714285,0.7173913043478262,0.7633947504830121,0.0,77.99349700768107,166.5048772442392,1.9704020798709747,0.2,0.0,-1.8823529411764706,0.1764705882352941,0.0,0.0,203.0,33.79672409426614,68.0,70.0
Charles Jourdain,16.0,0.5625,0.375,0.125,0.25,0.0625,0.0625,0.5804846586197364,0.2487791394084585,5.556067446788907,4.196074818022667,0.4972785749628897,0.5637931034482759,5.721920206394545,2.487791394084585,0.41463189901409747,1.9073067354648485,0.21739130434782608,0.4067796610169492,0.41463189901409747,0.41463189901409747,98.93117110476365,173.81369206670965,1.8054127268861313,0.6,0.4,0.45674740484429066,0.31141868512110726,1.245674740484429,0.9342560553633219,154.0,30.812405456648666,69.0,69.0
Alonzo Menifield,17.0,0.6470588235294118,0.4117647058823529,0.29411764705882354,0.11764705882352941,0.23529411764705882,0.0,0.5563798219584569,0.5563798219584569,3.8353115727002964,4.102373887240356,0.5227502527805864,0.5119152691968226,5.3412462908011875,1.3353115727002969,0.5563798219584569,1.5578635014836795,0.35714285714285715,0.8837209302325582,0.22255192878338279,0.0,206.973293768546,130.19287833827894,1.229979797979798,0.6,0.2,-0.75,0.6818181818181818,0.0,0.0,112.0,38.922086011348625,72.0,76.0
Iwo Baraniewski,3.0,1.0,1.0,1.0,0.0,0.0,0.0,17.821782178217823,4.455445544554456,11.287128712871286,8.91089108910891,0.5671641791044776,0.5384615384615384,89.10891089108911,0.0,0.0,8.910891089108912,0.0,1.0,0.0,0.0,142.5742574257426,26.73267326732673,,1.0,1.0,2.376237623762376,17.821782178217823,0.0,0.0,105.0,27.83082472603818,72.0,73.0
Gable Steveson,1.0,1.0,1.0,1.0,0.0,0.0,0.0,5.960264900662252,0.0,16.29139072847682,5.1655629139072845,0.7192982456140351,0.6060606060606061,5.960264900662252,0.0,0.0,5.960264900662252,0.0,,0.0,0.0,59.60264900662252,0.0,,1.0,1.0,11.125827814569536,5.960264900662252,0.0,0.0,70.0,26.303072616138593,71.0,74.0
Sean Sharaf,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,7.406639004149378,15.0,0.43911439114391143,0.42619047619047623,7.468879668049793,0.0,0.9336099585062241,8.402489626556017,0.1111111111111111,,0.0,0.0,42.946058091286304,4.66804979253112,,0.0,0.0,-7.593360995850622,0.0,0.9336099585062241,0.0,280.0,33.191646645721676,75.0,77.0
Patricio Pitbull,3.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,2.6888888888888887,4.822222222222222,0.5148936170212766,0.4918032786885246,1.3333333333333333,11.666666666666666,2.0,4.333333333333334,0.46153846153846156,0.5,0.3333333333333333,0.0,75.66666666666667,105.33333333333333,1.0357142857142858,0.3333333333333333,0.0,-2.1333333333333333,0.0,2.0,0.3333333333333333,161.0,,,
Dooho Choi,9.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0,0.2222222222222222,0.0,1.1005135730007336,0.6603081438004402,5.37050623624358,5.1063829787234045,0.5462686567164179,0.5639097744360902,7.043286867204696,4.402054292002934,1.540719002201027,2.8613352898019078,0.5384615384615384,0.6470588235294117,0.6603081438004402,0.0,152.09097578870137,128.980190755686,0.6822843674353422,0.6,0.6,0.6172839506172839,0.6172839506172839,1.851851851851852,0.925925925925926,126.0,35.444944112473216,70.0,70.0
Arman Tsarukyan,12.0,0.8333333333333334,0.4166666666666667,0.3333333333333333,0.08333333333333333,0.0,0.0,0.30581039755351686,0.0,3.853211009174312,1.8008834522595991,0.500441306266549,0.5485519591141397,17.940876656472987,2.2426095820591234,3.261977573904179,8.664627930682977,0.3764705882352941,0.75,0.1019367991845056,0.6116207951070337,381.14169215086645,98.1651376146789,1.3131844570110216,1.0,0.6,2.3185673892554197,0.2827521206409048,4.241281809613572,0.2827521206409048,301.0,29.93901312141933,67.0,72.0
Mauricio Ruffy,6.0,0.8333333333333334,0.6666666666666666,0.6666666666666666,0.0,0.0,0.16666666666666666,2.0579268292682924,0.0,4.001524390243903,3.75,0.5700325732899023,0.5950617283950617,7.888719512195123,1.7149390243902438,0.0,0.3429878048780488,0.0,0.85,0.0,0.3429878048780488,39.443597560975604,122.78963414634147,,0.8,0.6,0.0,1.9214346712211785,0.0,0.0,97.0,30.256610334229997,71.0,75.0
Joshua Van,10.0,0.9,0.3,0.3,0.0,0.1,0.0,0.7221458046767538,0.1031636863823934,8.445667125171939,5.797799174690509,0.5738317757009346,0.583292140385566,6.8088033012379645,1.031636863823934,0.8253094910591472,1.3411279229711142,0.6153846153846154,0.7567567567567568,0.2063273727647868,0.1031636863823934,66.02475928473177,138.65199449793673,2.1088486220409384,1.0,0.4,2.929857231533209,1.1173184357541899,0.186219739292365,0.37243947858473,133.0,24.942332833665304,65.0,65.0
Alexandre Pantoja,17.0,0.8235294117647058,0.47058823529411764,0.11764705882352941,0.35294117647058826,0.0,0.0,0.27991602519244224,0.06997900629811056,4.362024725915559,3.8768369489153254,0.5029585798816568,0.4984912492456246,5.808257522743177,3.9888033589923024,2.7991602519244223,5.878236529041288,0.47619047619047616,0.6923076923076923,0.9797060881735479,0.0,290.97270818754373,99.58012596221134,0.8206788042256686,1.0,0.4,-0.010638297872340427,0.1595744680851064,4.627659574468085,0.6382978723404256,448.0,36.42785272798209,65.0,67.0
